,Unnamed: 0,guess,author,presynaptic_ID,counts,postsynaptic_ID,symbol,dorso-ventral,frequency_counts
0,1496,Mi1,100,720575940624769771,13,720575940628926467,Mi1,,3
1,523,Mi1,100,720575940629180422,16,720575940616695835,Mi1,,4
2,6853,Mi1,100,720575940644950216,34,720575940646150435,Mi1,,5
3,5777,Mi1,100,720575940629129679,25,720575940642820388,Mi1,,5
4,6797,Mi1,100,720575940629042639,18,720575940626489644,Mi1,,5
5,6695,Mi1,100,720575940627539653,29,720575940627147052,Mi1,,4
6,7217,Mi1; Medullary intrinsic neuron 1; FBbt_00003776,392,720575940635864176,10,720575940633268525,Mi1,,2
7,6346,Mi1,100,720575940636264952,23,720575940625414448,Mi1,,7
8,7015,Mi1,100,720575940630944505,42,720575940619233585,Mi1,,4
9,6393,Mi1,100,720575940632811112,40,720575940614564146,Mi1,,5
10,6748,Mi1,100,720575940637201461,26,720575940626962746,Mi1,,5
11,6024,Mi1,100,720575940643266583,33,720575940630280508,Mi1,,4
12,290,Mi1,100,720575940626100238,29,720575940618375197,Mi1,,5
13,5694,Mi1,100,720575940631644719,26,720575940618774848,Mi1,,4
14,6476,Mi1,100,720575940619393349,15,720575940639705414,Mi1,,3
15,6150,Mi1,100,720575940632700256,24,720575940620335437,Mi1,,4
16,6625,Mi1,100,720575940632107033,21,720575940629170519,Mi1,,4
17,6923,Mi1,100,720575940615912916,26,720575940630325591,Mi1,,4
18,5634,Mi1,100,720575940618358838,23,720575940631507287,Mi1,,3
19,7152,Mi1,100,720575940643527112,36,720575940638474584,Mi1,,4
20,6205,Mi1,100,720575940629246586,32,720575940620575067,Mi1,,6
21,7252,Mi1,100,720575940606513342,12,720575940608305500,Mi1,,6
22,7066,Mi1,100,720575940618364325,24,720575940633334112,Mi1,,5
23,1614,Mi1,100,720575940630697124,20,720575940622106657,Mi1,,3
24,5558,Mi1,100,720575940646369588,22,720575940621150561,Mi1,,4
25,7449,Mi1,100,720575940613416744,46,720575940627730793,Mi1,,4
26,8548,Mi1,100,720575940637106573,21,720575940616165738,Mi1,,4
27,8104,Mi1,100,720575940611625238,23,720575940635980139,Mi1,,5
28,7689,Mi1,100,720575940628694671,9,720575940635930987,Mi1,,7
29,7865,Mi1,100,720575940630787599,36,720575940621871469,Mi1,,4
30,8424,Mi1,100,720575940636962138,33,720575940630825338,Mi1,,4
31,8256,Mi1,100,720575940639022911,18,720575940630800762,Mi1,,4
32,8594,Mi1,100,720575940620859574,48,720575940622393724,Mi1,,4
33,7730,Mi1,100,720575940611551857,28,720575940629385594,Mi1,,5
34,127,Mi1,100,720575940614212258,27,720575940624535590,Mi1,,5
35,7619,Mi1,100,720575940622516104,15,720575940658854273,Mi1,,7
36,8817,Mi1,100,720575940604151008,33,720575940606181762,Mi1,,4
37,7301,Mi1,100,720575940626064456,34,720575940626370947,Mi1,,5
38,7391,Mi1,100,720575940623820523,30,720575940658932097,Mi1,,3
39,8355,Mi1,100,720575940660975745,33,720575940623384968,Mi1,,6
40,8948,Mi1,100,720575940644510574,33,720575940616130955,Mi1,,5
41,9119,Mi1,100,720575940639546933,31,720575940631767436,Mi1,,5
42,8480,Mi1,100,720575940624234644,41,720575940631951756,Mi1,,4
43,8883,Mi1,100,720575940611686513,24,720575940641120653,Mi1,,5
44,9077,Mi1,100,720575940604714929,32,720575940626452880,Mi1,,7
45,721,Mi1,100,720575940635825144,13,720575940612685864,Mi1,,2
46,8066,Mi1,100,720575940624940675,14,720575940622866836,Mi1,,5
47,7955,Mi1,100,720575940628444688,12,720575940610736533,Mi1,,4
48,7798,Mi1,100,720575940625840146,32,720575940634622359,Mi1,,4
49,8290,Mi1,100,720575940620210014,29,720575940628103576,Mi1,,3
50,8683,Mi1,100,720575940620183066,32,720575940612290969,Mi1,,5
51,7544,Mi1,100,720575940625614101,38,720575940618936733,Mi1,,4
52,9018,Mi1,100,720575940617578267,36,720575940620151198,Mi1,,4
53,8150,Mi1,100,720575940626971560,26,720575940615307682,Mi1,,5
54,8747,Mi1,100,720575940645541252,18,720575940614547879,Mi1,,4
55,8209,Mi1,100,720575940625813054,24,720575940626647464,Mi1,,6
56,70,Mi1,100,720575940625724618,33,720575940623458348,Mi1,,5
57,8003,Mi1,100,720575940631147484,32,720575940620968361,Mi1,,4
58,10754,Mi1,100,720575940623666320,25,720575940619354539,Mi1,,3
59,9561,Mi1,100,720575940618490782,28,720575940620530091,Mi1,,4
60,10314,Mi1,100,720575940644945352,32,720575940632297901,Mi1,,4
61,10060,Mi1,100,720575940629104377,26,720575940621048240,Mi1,,5
62,9342,Mi1,100,720575940636151032,20,720575940621353392,Mi1,,4
63,10244,Mi1,100,720575940615266866,27,720575940606964145,Mi1,,4
64,9485,Mi1,100,720575940615836450,36,720575940624163253,Mi1,,4
65,10902,Mi1,100,720575940628589032,21,720575940623675831,Mi1,,5
66,9263,Mi1,100,720575940621263014,27,720575940617128377,Mi1,,5
67,1548,Mi1,100,720575940615590034,23,720575940629837868,Mi1,,4
68,11163,Mi1,100,720575940645078984,18,720575940616440251,Mi1,,2
69,9682,Mi1,100,720575940630542663,36,720575940638196157,Mi1,,4
70,9395,Mi1,100,720575940634360546,37,720575940635113919,Mi1,,3
71,10498,Mi1,100,720575940628590235,15,720575940621529536,Mi1,,7
72,9189,Mi1,100,720575940627344783,39,720575940621531584,Mi1,,4
73,10569,Mi1,100,720575940632164044,31,720575940623188420,Mi1,,5
74,10110,Mi1,100,720575940632194221,43,720575940626444741,Mi1,,4
75,9904,Mi1,100,720575940627970122,31,720575940617925067,Mi1,,4
76,9617,Mi1,100,720575940632232418,31,720575940623178189,Mi1,,3
77,9981,Mi1,100,720575940628196908,42,720575940639988176,Mi1,,4
78,195,Mi1,100,720575940625817768,24,720575940626462768,Mi1,,3
79,10959,Mi1,100,720575940613700305,49,720575940614580689,Mi1,,5
80,9849,Mi1,100,720575940622864169,33,720575940633096659,Mi1,,5
81,9739,Mi1,100,720575940627669239,31,720575940607814106,Mi1,,4
82,11039,Mi1,100,720575940621189358,42,720575940630084060,Mi1,,5
83,11114,Mi1,100,720575940620780270,10,720575940614621661,Mi1,,4
84,10380,Mi1,100,720575940629500777,27,720575940614791645,Mi1,,7
85,10176,Mi1,100,720575940630446970,29,720575940614803933,Mi1,,5
86,10837,Mi1,100,720575940629500777,25,720575940630368732,Mi1,,7
